Job title,Job description,Location,Job time
Data Analyst,ITCan ,"New Cairo, Cairo, Egypt",Full Time
Data Analyst,Safa International Travel ,"Dokki, Giza, Egypt",Full Time
Data Analyst,London International Patient Services ,"Sheraton, Cairo, Egypt",Full Time
Data Analyst,AL-Matar ,"Maadi, Cairo, Egypt",Full Time
Electronic Data Interchange (EDI) Analyst (Fluent English Speakers Only),FlairsTech ,"Cairo, Egypt",Full Time
Data Analyst,Othaim ,"Katameya, Cairo, Egypt",Full Time
Data Analyst,Confidential ,"Heliopolis, Cairo, Egypt",Full Time
Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen ,"Zamalek, Cairo, Egypt",Full Time
Data Analyst,Hands of Hope Physical Therapy & Wellness ,"Maadi, Cairo, Egypt",Full Time
ERPNext Specialist/Data Analyst,Confidential ,"Alexandria, Egypt",Full Time
Data Analyst,Natcom ,"Cairo, Egypt",Full Time
Software Business Analyst,WSC ,"Dokki, Giza, Egypt",Full Time
Market Research Analyst,Gap Polymers  ,"Maadi, Cairo, Egypt",Full Time
Financial Analyst - Innoventures,Cultiv ,"Heliopolis, Cairo, Egypt",Full Time
Data Analyst,Nugttah ,"Cairo, Egypt",Full Time
Senior Sales Analyst (Power BI),Alarabia Group ,"10th of Ramadan City, Cairo, Egypt",Full Time
System Analyst ( software house Company ),Houya Arrow ,"Heliopolis, Cairo, Egypt",Full Time
Data Analyst (On-Site),Union Coop ,"Dokki, Giza, Egypt",Full Time
Senior Business Analyst,Egabi FSI ,"Sheraton, Cairo, Egypt",Full Time
Senior Business Analyst (Alexandria),Ejada  ,"Siouf, Alexandria, Egypt",Full Time
Senior Business Analyst,Ejada  ,"Heliopolis, Cairo, Egypt",Full Time
Sales Analyst,Saint-Gobain ,"New Cairo, Cairo, Egypt",Full Time
Client Relations Business Analyst,Majorel Egypt ,"Katameya, Cairo, Egypt",Full Time
Workforce Analyst,AL-Matar ,"Maadi, Cairo, Egypt",Full Time
Data Analysis Instructor,Zero Grad ,"Cairo, Egypt",Freelance / Project
Senior Market Research & Data Analyst,Onecard ,"Nasr City, Cairo, Egypt",Full Time
Senior Business Analyst,Johnson Controls ,"Nasr City, Cairo, Egypt",Full Time
Junior Financial Analyst,B.TECH ,"Nasr City, Cairo, Egypt",Full Time
System Analyst,Masary ,"Maadi, Cairo, Egypt",Full Time
Process Improvement Analyst,Fawry for Banking Technology and Electronic Payments S.A.E ,"Smart Village, Giza, Egypt",Full Time
Financial Planning Analyst,Ghabbour Auto ,"6th of October, Giza, Egypt",Full Time
Senior Financial Analyst,Ibn Sina Pharma ,"New Cairo, Cairo, Egypt",Full Time
Business Analyst Specialist,Masria Digital Payment (MDP) ,"New Cairo, Cairo, Egypt",Full Time
Business Analyst,Refilex ,"Dokki, Giza, Egypt",Freelance / Project
Financial Planning & Analysis (FP&A) Analyst,Confidential ,"Heliopolis, Cairo, Egypt",Full Time
SOC Analyst Tier1,Confidential ,"Nasr City, Cairo, Egypt",Full Time
Senior Financial Analyst,TAQA Petroleum ,"Cairo, Egypt",Full Time
Fleet Data Analyst,Seoudi Supermarket ,"Giza, Egypt",Full Time
Tariff Analyst,Tripathon ,"Nasr City, Cairo, Egypt",Full Time
Senior Financial Analyst,Al Dau Development  ,"6th of October, Giza, Egypt",Full Time
R&D Stability Analyst,Al Andalous Pharmaceutical Industries ,"6th of October, Giza, Egypt",Full Time
R&D Methodology Analyst,Al Andalous Pharmaceutical Industries ,"6th of October, Giza, Egypt",Full Time
Business Analyst,Misr Insurance Co ,"Giza, Egypt",Full Time
Senior EDI Analyst & Developer,FlairsTech ,"Maadi, Cairo, Egypt",Full Time
Business Analyst\Solution Architect,Ejada  ,"Jeddah, Saudi Arabia",Full Time
Senior Business Analyst,Naeem ,"Cairo, Egypt",Full Time
Equity Analyst,rowaad ,"Cairo, Egypt",Full Time
Budget Analyst,Majorel Egypt ,"Cairo, Egypt",Full Time
Commercial Data Management Specialist,Hikma Pharmaceuticals ,"6th of October, Giza, Egypt",Full Time
Quality Control Analyst,Hikma Pharmaceuticals ,"6th of October, Giza, Egypt",Full Time
PMO Analyst,IT Systems Corporation ,"Cairo, Egypt",Full Time
Budget Analyst,Somabay ,"Hurghada, Red Sea, Egypt",Full Time
BI Analyst,Confidential ,"6th of October, Giza, Egypt",Full Time
Senior Financial Analyst, Cairo Three A  Poultry ,"Cairo, Egypt",Full Time
Financial Analyst,rowaad ,"Cairo, Egypt",Work From Home
Data Engineer - SSIS (On-site),SANTECHTURE  ,"Cairo, Egypt",Full Time
Senior Financial Analyst,Evergrow for Speciality Fertilizers ,"Smart Village, Giza, Egypt",Full Time
Power BI Analyst,Dynamicslink ,"Nasr City, Cairo, Egypt",Full Time
Senior Data Management Engineer,Ejada  ,"Cairo, Egypt",Full Time
Big Data Engineer,Worex ,"Maadi, Cairo, Egypt",Full Time
Product Owner/Business Analyst,Nahdet Misr Publishing Group ,"Mohandessin, Giza, Egypt",Full Time
Business Development Analyst,Cilantro ,"Maadi, Cairo, Egypt",Full Time
Data Scientist,Seoudi Supermarket ,"Sheikh Zayed, Giza, Egypt",Full Time
Data Scientist Manager,Tamweely ,"Shubra, Cairo, Egypt",Full Time
Quality Assurance Analyst,Globaction ,"6th of October, Giza, Egypt",Full Time
Cash Flow Analyst,Elite Education Group ,"New Cairo, Cairo, Egypt",Full Time
Financial Analyst,Elite Education Group ,"New Cairo, Cairo, Egypt",Full Time
Senior Financial reporting Analyst,Argaam ,"Mohandessin, Giza, Egypt",Full Time
Data Specialist-SSIS,SANTECHTURE  ,"Cairo, Egypt",Full Time
Data Engineer,Confidential ,"Riyadh, Saudi Arabia",Full Time
Data Analysis & Operation Control Supervisor,Sky logistics ,"Sheikh Zayed, Giza, Egypt",Full Time
Financial Analyst,Cairoscan ,"Mohandessin, Giza, Egypt",Full Time
Business Analyst,Youxel ,"Cairo, Egypt",Full Time
Ads Sales Quality and Training Analyst –Senior Process Associate,Genpact ,"Cairo, Egypt",Full Time
Lead Data Engineer,SANTECHTURE  ,"Cairo, Egypt",Full Time
Senior Investment Banking Analyst,Talaat Moustafa Group ,"Dokki, Giza, Egypt",Full Time
Process Associate/ Developer – Reporting Analyst (MIS),Genpact ,"Cairo, Egypt",Full Time
Data Engineer,Wadi Degla Clubs Company ,"Maadi, Cairo, Egypt",Full Time
Market Research Analyst,Dealtio ,"Nasr City, Cairo, Egypt",Full Time
Ads Sales Quality and Training Analyst –Management Trainee,Genpact ,"Cairo, Egypt",Full Time
Quality Assurance Analyst,Fawry for Banking Technology and Electronic Payments S.A.E ,"Smart Village, Giza, Egypt",Full Time
Data Analysis/Analytics Instructor (Excel - Power BI),EpsilonAI ,"Nasr City, Cairo, Egypt",Full Time
Credit analyst,EL-Mobadara ,"Giza, Egypt",Full Time
Business Analyst ( Multinational Logistics company),Pillars ,"Cairo, Egypt",Full Time
Market Research Analyst (Banking Sector),Argaam ,"Mohandessin, Giza, Egypt",Full Time
Cost Senior Analyst,Kandil Industries ,"10th of Ramadan City, Cairo, Egypt",Full Time
Sales Operations Analyst,Confidential ,"6th of October, Giza, Egypt",Full Time
Financial Analyst,Confidential ,"Cairo, Egypt",Full Time
Tax Accountant,Miami center company ,"Sidi Bishr, Alexandria, Egypt",Full Time
Information Security Analyst,Confidential ,"New Cairo, Cairo, Egypt",Full Time
GIS application analyst,Perfect Presentation ,"6th of October, Giza, Egypt",Full Time
Supply Chain Analyst,Tie House ,"New Cairo, Cairo, Egypt",Full Time
